Partlist

Exported from avoccado-nora2-panel-100x100.brd

EAGLE Version 7.2.0 Copyright (c) 1988-2014 CadSoft

Assembly variant: 

Part     Value           Package       Library               Position (inch)       Orientation

R71      1M              0603-RES      SparkFun-Resistors    (1.06425197 3.03401575) R180
R72      1K              0603-RES      SparkFun-Resistors    (1.73425197 3.04401575) R270
R73      10K             0603-RES      SparkFun-Resistors    (2.04850394 2.18944882) R180
R74      1K              0603-RES      SparkFun-Resistors    (2.04850394 2.12944882) R180
R75      2K              0603-RES      SparkFun-Resistors    (2.63850394 2.07944882) R270
R76      1K              0603-RES      SparkFun-Resistors    (2.79850394 2.07944882) R90
R77      1M              0603-RES      SparkFun-Resistors    (2.04850394 2.06944882) R180
R78      1K              0603-RES      SparkFun-Resistors    (2.71850394 2.07944882) R270
R79      10K             0603-RES      SparkFun-Resistors    (3.03275591 2.18944882) R180
R80      1K              0603-RES      SparkFun-Resistors    (3.03275591 2.12944882) R180
R81      2K              0603-RES      SparkFun-Resistors    (3.62275591 2.07944882) R270
R82      1K              0603-RES      SparkFun-Resistors    (3.78275591 2.07944882) R90
R83      1M              0603-RES      SparkFun-Resistors    (3.03275591 2.06944882) R180
R84      1K              0603-RES      SparkFun-Resistors    (3.70275591 2.07944882) R270
R85      10K             0603-RES      SparkFun-Resistors    (2.04850394 3.15401575) R180
R86      1K              0603-RES      SparkFun-Resistors    (2.04850394 3.09401575) R180
R87      2K              0603-RES      SparkFun-Resistors    (2.63850394 3.04401575) R270
R88      1K              0603-RES      SparkFun-Resistors    (2.79850394 3.04401575) R90
R89      1M              0603-RES      SparkFun-Resistors    (2.04850394 3.03401575) R180
R90      1K              0603-RES      SparkFun-Resistors    (2.71850394 3.04401575) R270
R91      10K             0603-RES      SparkFun-Resistors    (3.03275591 3.15401575) R180
R92      1K              0603-RES      SparkFun-Resistors    (3.03275591 3.09401575) R180
R93      2K              0603-RES      SparkFun-Resistors    (3.62275591 3.04401575) R270
R94      1K              0603-RES      SparkFun-Resistors    (3.78275591 3.04401575) R90
R95      1M              0603-RES      SparkFun-Resistors    (3.03275591 3.03401575) R180
R96      1K              0603-RES      SparkFun-Resistors    (3.70275591 3.04401575) R270
U1       MCP73831        SOT23-5       SparkFun              (1.54425197 0.14031496) R180
U2       MCP73831        SOT23-5       SparkFun              (0.56 0.14031496)     R180
U3       MCP73831        SOT23-5       SparkFun              (0.56 1.10488189)     R180
U4       MCP73831        SOT23-5       SparkFun              (1.54425197 1.10488189) R180
U5       MCP73831        SOT23-5       SparkFun              (2.52850394 0.14031496) R180
U6       MCP73831        SOT23-5       SparkFun              (3.51275591 0.14031496) R180
U7       MCP73831        SOT23-5       SparkFun              (2.52850394 1.10488189) R180
U8       MCP73831        SOT23-5       SparkFun              (3.51275591 1.10488189) R180
U9       MCP73831        SOT23-5       SparkFun              (0.56 2.06944882)     R180
U10      MCP73831        SOT23-5       SparkFun              (1.54425197 2.06944882) R180
U11      MCP73831        SOT23-5       SparkFun              (0.56 3.03401575)     R180
U12      MCP73831        SOT23-5       SparkFun              (1.54425197 3.03401575) R180
U13      MCP73831        SOT23-5       SparkFun              (2.52850394 2.06944882) R180
U14      MCP73831        SOT23-5       SparkFun              (3.51275591 2.06944882) R180
U15      MCP73831        SOT23-5       SparkFun              (2.52850394 3.03401575) R180
U16      MCP73831        SOT23-5       SparkFun              (3.51275591 3.03401575) R180
